CLUSTER,2
INPUT,6
HIDDEN1,5
OUTPUT,4
LearningRate,0.25
Convergence,0.01
MaxTraining,10000000
DataDescriptionBegin
Input5,Base Distance For Rake Angle Measurement
Input7,Wheel Diameter
Input8,Profile Angle
Input11,Rake Angle
Input12,Circular Land
Input13,Small Core Diameter
Output0,Wheel Setting Angle
Output1,Minimum Wheel Width
Output2,Wheel Displacement
Output3,Distance Between Axes
DataDescriptionEnd
TrainingSetBegin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD111,0.059981,18.7441,6.42857,1.42857,0.468604,0.550141,0.619143,0.32896,-0.314277,9.54233,
TD112,0.059854,17.5182,6.42857,1.42857,0.437956,0.550073,0.670357,0.348321,-0.289051,8.95036,
TD113,0.060079,21.3806,6.42857,0.428571,0.25822,0.57497,1.23129,0.438802,-0.507488,10.8809,
TD114,0.060044,21.126,6.42857,0.428571,0.255145,0.574928,1.23579,0.441742,-0.498214,10.7569,
TD115,0.060007,20.6449,6.42857,0.428571,0.249335,0.574967,1.24414,0.447141,-0.480552,10.5223,
TD116,0.060013,20.4209,6.42857,0.428571,0.246629,0.574975,1.24807,0.449852,-0.472378,10.413,
TD117,0.060045,19.9936,6.42857,0.428571,0.241468,0.575016,1.2555,0.454765,-0.457019,10.2043,
TD118,0.05992,19.7928,6.42857,0.428571,0.239044,0.57498,1.259,0.457211,-0.449721,10.1063,
TD119,0.060019,19.4123,6.42857,0.428571,0.234448,0.575023,1.26557,0.46155,-0.43623,9.92013,
TD120,0.059926,19.232,6.42857,0.428571,0.23227,0.574946,1.26871,0.463611,-0.429854,9.83199,
TD121,0.059933,18.8926,6.42857,0.428571,0.228172,0.574992,1.27457,0.4676,-0.417858,9.66581,
TD122,0.059985,18.5789,6.42857,0.428571,0.224383,0.575019,1.28007,0.471204,-0.406881,9.51219,
TD123,0.060062,18.2835,6.42857,0.428571,0.220816,0.575004,1.28514,0.474459,-0.396585,9.36744,
TD124,0.060044,18.0131,6.42857,0.428571,0.217549,0.575054,1.28993,0.477737,-0.387237,9.23481,
TD125,0.06006,17.7606,6.42857,0.428571,0.2145,0.575004,1.29436,0.48048,-0.378521,9.11097,
TD126,0.059969,17.525,6.42857,0.428571,0.211655,0.574996,1.29843,0.483138,-0.370538,8.9952,
TD127,0.060061,17.3077,6.42857,0.428571,0.20903,0.574972,1.30229,0.485647,-0.363155,8.88852,
