Data_description,
Input5,Base Distance For Rake Angle Measurement,
Input7,Wheel Diameter,
Input8,Profile Angle,
Input11,Rake Angle,
Input12,Circular Land,
Input13,Small Core Diameter,
Output0,Wheel Setting Angle,
Output1,Minimum Wheel Width,
Output2,Wheel Displacement,
Output3,Distance Between Axes,
Data begin,Input5,Input7,Input8,Input11,Input12,Input13,Output0,Output1,Output2,Output3,
TD217,0.059976,29.327037,3.000000,0.200000,0.306966,0.600000,1.019767,0.371901,-3.243211,13.976151,
TD218,0.059935,28.630705,3.000000,0.200000,0.299677,0.600046,1.027433,0.378285,-3.148225,13.681420,
TD219,0.059910,27.972973,3.000000,0.200000,0.292793,0.600000,1.034400,0.384685,-3.058559,13.400901,
TD220,0.059899,27.350804,3.000000,0.200000,0.286281,0.599868,1.040733,0.390443,-2.973794,13.133451,
TD221,0.059901,26.761474,3.000000,0.200000,0.280112,0.599871,1.046567,0.396251,-2.893557,12.878690,
TD222,0.059916,26.202532,3.000000,0.200000,0.274262,0.600000,1.051900,0.401477,-2.817722,12.635654,
TD223,0.059942,25.671765,3.000000,0.200000,0.268706,0.600041,1.056867,0.406573,-2.745969,12.403473,
TD224,0.059980,25.167173,3.000000,0.200000,0.263425,0.600000,1.061433,0.411550,-2.678014,12.181763,
TD225,0.060016,24.682035,3.000000,0.200000,0.258347,0.599960,1.065667,0.416137,-2.613076,11.967607,
TD226,0.060074,24.224693,3.000000,0.200000,0.253560,0.599961,1.069633,0.420519,-2.551980,11.764970,
TD227,0.059939,23.783991,3.000000,0.200000,0.248947,0.599962,1.073333,0.424741,-2.493681,11.568748,
TD228,0.060008,23.363431,3.000000,0.200000,0.244545,0.599887,1.076767,0.428706,-2.438111,11.380926,
TD229,0.060085,22.961730,3.000000,0.200000,0.240340,0.599926,1.080033,0.432612,-2.385469,11.200961,
TD230,0.060000,22.581818,3.000000,0.200000,0.236364,0.600000,1.083067,0.436364,-2.335818,11.030364,
TD231,0.059918,22.214273,3.000000,0.200000,0.232517,0.600072,1.085967,0.439814,-2.288142,10.864783,
TD232,0.060025,21.862348,3.000000,0.200000,0.228833,0.600070,1.088667,0.443232,-2.242739,10.705862,
TD233,0.059955,21.521400,3.000000,0.200000,0.225264,0.599896,1.091233,0.446370,-2.198926,10.551204,
